city,date,mean
Łódź,2011-12-15,36.0415
Łódź,2011-12-16,35.379
Łódź,2011-12-17,11.465
Łódź,2011-12-18,14.596
Łódź,2011-12-19,43.3125
Łódź,2011-12-20,152.5
Łódź,2011-12-21,157.64600000000002
Łódź,2011-12-22,99.4375
Łódź,2011-12-23,97.771
Łódź,2011-12-24,28.826
Łódź,2011-12-25,19.124
Łódź,2011-12-26,12.45
Łódź,2011-12-27,13.2025
Łódź,2011-12-28,16.7835
Łódź,2011-12-29,19.0835
Łódź,2011-12-30,19.354
Łódź,2011-12-31,22.825
Katowice,2011-01-01,39
Katowice,2011-01-02,26
Katowice,2011-01-03,58
Katowice,2011-01-04,91
Katowice,2011-01-05,109
Katowice,2011-01-06,81
Katowice,2011-01-07,87
Katowice,2011-01-08,115
Katowice,2011-01-09,66.5
Katowice,2011-01-10,61.5
Katowice,2011-01-11,61.5
Katowice,2011-01-12,62.5
Katowice,2011-01-13,51.5
Katowice,2011-01-14,44
Katowice,2011-01-15,27
Katowice,2011-01-16,56
Katowice,2011-01-17,124
Katowice,2011-01-18,80
Katowice,2011-01-19,61
Katowice,2011-01-20,36.5
Katowice,2011-01-21,27.5
Katowice,2011-01-22,37.5
Katowice,2011-01-23,44.5
Katowice,2011-01-24,49.5
Katowice,2011-01-25,51
Katowice,2011-01-26,67
Katowice,2011-01-27,90.5
Katowice,2011-01-28,117
Katowice,2011-01-29,149.5
Katowice,2011-01-30,131
Katowice,2011-01-31,139.5
Katowice,2011-02-01,116
Katowice,2011-02-02,99
Katowice,2011-02-03,77.5
Katowice,2011-02-04,44.5
Katowice,2011-02-05,25.5
Katowice,2011-02-06,25.5
Katowice,2011-02-07,49.5
Katowice,2011-02-08,41
Katowice,2011-02-09,47.5
Katowice,2011-02-10,97
Katowice,2011-02-11,48
Katowice,2011-02-12,34.5
Katowice,2011-02-13,80.5
Katowice,2011-02-14,40.5
Katowice,2011-02-15,53.5
Katowice,2011-02-16,71.5
Katowice,2011-02-17,79
Katowice,2011-02-18,150.5
Katowice,2011-02-19,80.5
Katowice,2011-02-20,57.5
Katowice,2011-02-21,64
Katowice,2011-02-22,77
Katowice,2011-02-23,84
Katowice,2011-02-24,144
Katowice,2011-02-25,102
Katowice,2011-02-26,72
Katowice,2011-02-27,93
Katowice,2011-02-28,66.5
Katowice,2011-03-01,57.5
Katowice,2011-03-02,53
Katowice,2011-03-03,122
Katowice,2011-03-04,233.5
Katowice,2011-03-05,76.5
Katowice,2011-03-06,26
Katowice,2011-03-07,41
Katowice,2011-03-08,104.5
Katowice,2011-03-09,95
Katowice,2011-03-10,64.5
Katowice,2011-03-11,53.5
Katowice,2011-03-12,61.5
Katowice,2011-03-13,37
Katowice,2011-03-14,44
Katowice,2011-03-15,105
Katowice,2011-03-16,79.5
Katowice,2011-03-17,42.5
Katowice,2011-03-18,32.5
Katowice,2011-03-19,35
Katowice,2011-03-20,63
Katowice,2011-03-21,111
Katowice,2011-03-22,116
Katowice,2011-03-23,70
Katowice,2011-03-24,55
Katowice,2011-03-25,55
Katowice,2011-03-26,40.5
Katowice,2011-03-27,33
Katowice,2011-03-28,62.5
Katowice,2011-03-29,77
Katowice,2011-03-30,90.5
Katowice,2011-03-31,65.5
Katowice,2011-04-01,33.5
Katowice,2011-04-02,58.5
Katowice,2011-04-03,45
Katowice,2011-04-04,44
Katowice,2011-04-05,42.5
Katowice,2011-04-06,51.5
Katowice,2011-04-07,33.5
Katowice,2011-04-08,34
Katowice,2011-04-09,28.5
Katowice,2011-04-10,29
Katowice,2011-04-11,50
Katowice,2011-04-12,36
Katowice,2011-04-13,21.5
Katowice,2011-04-14,24
Katowice,2011-04-15,32.5
Katowice,2011-04-16,54.5
Katowice,2011-04-17,77.5
Katowice,2011-04-18,76
Katowice,2011-04-19,68.5
Katowice,2011-04-20,40.5
Katowice,2011-04-21,63
Katowice,2011-04-22,41.5
Katowice,2011-04-23,38
Katowice,2011-04-24,23.5
Katowice,2011-04-25,24
Katowice,2011-04-26,43.5
Katowice,2011-04-27,47
Katowice,2011-04-28,49.5
Katowice,2011-04-29,39
Katowice,2011-04-30,39.5
Katowice,2011-05-01,26
Katowice,2011-05-02,21.5
Katowice,2011-05-03,23
Katowice,2011-05-04,33.5
Katowice,2011-05-05,28
Katowice,2011-05-06,51.5
Katowice,2011-05-07,40
Katowice,2011-05-08,17.5
Katowice,2011-05-09,30.5
Katowice,2011-05-10,45
Katowice,2011-05-11,46
Katowice,2011-05-12,40.5
Katowice,2011-05-13,18.5
Katowice,2011-05-14,36
Katowice,2011-05-15,26
Katowice,2011-05-16,20.5
Katowice,2011-05-17,35
Katowice,2011-05-18,29
Katowice,2011-05-19,44
Katowice,2011-05-20,41.5
Katowice,2011-05-21,39
Katowice,2011-05-22,33
Katowice,2011-05-23,23
Katowice,2011-05-24,47
Katowice,2011-05-25,14.5
Katowice,2011-05-26,43.5
Katowice,2011-05-27,37.5
Katowice,2011-05-28,15
Katowice,2011-05-29,21
Katowice,2011-05-30,32
Katowice,2011-05-31,32.5
Katowice,2011-06-01,34.5
Katowice,2011-06-02,27.5
Katowice,2011-06-03,21
Katowice,2011-06-04,30.5
Katowice,2011-06-05,26
Katowice,2011-06-06,26.5
Katowice,2011-06-07,36.5
Katowice,2011-06-08,42
Katowice,2011-06-09,25
Katowice,2011-06-10,23.5
Katowice,2011-06-11,20.5
Katowice,2011-06-12,23.5
Katowice,2011-06-13,37.5
Katowice,2011-06-14,45
Katowice,2011-06-15,44.5
Katowice,2011-06-16,28.5
Katowice,2011-06-17,33.5
Katowice,2011-06-18,33
Katowice,2011-06-19,16
Katowice,2011-06-20,19.5
Katowice,2011-06-21,26.5
Katowice,2011-06-22,38.5
Katowice,2011-06-23,19
Katowice,2011-06-24,21.5
Katowice,2011-06-25,15.5
Katowice,2011-06-26,23.5
Katowice,2011-06-27,18.5
Katowice,2011-06-28,24
Katowice,2011-06-29,30.5
Katowice,2011-06-30,23
Katowice,2011-07-01,18.5
Katowice,2011-07-02,20.5
Katowice,2011-07-03,12
Katowice,2011-07-04,19.5
Katowice,2011-07-05,20
Katowice,2011-07-06,33.5
Katowice,2011-07-07,43
Katowice,2011-07-08,45
Katowice,2011-07-09,33
Katowice,2011-07-10,29
Katowice,2011-07-11,26.5
Katowice,2011-07-12,28
Katowice,2011-07-13,38
Katowice,2011-07-14,36.5
Katowice,2011-07-15,28.5
Katowice,2011-07-16,34
Katowice,2011-07-17,29.5
Katowice,2011-07-18,31.5
Katowice,2011-07-19,38.5
Katowice,2011-07-20,22
Katowice,2011-07-21,18
Katowice,2011-07-22,18.5
Katowice,2011-07-23,22
Katowice,2011-07-24,26.5
Katowice,2011-07-25,33
Katowice,2011-07-26,40
Katowice,2011-07-27,37
Katowice,2011-07-28,38
Katowice,2011-07-29,27.5
Katowice,2011-07-30,26
Katowice,2011-07-31,13.5
Katowice,2011-08-01,23
Katowice,2011-08-02,33
Katowice,2011-08-03,33
Katowice,2011-08-04,30.5
Katowice,2011-08-05,43
Katowice,2011-08-06,42.5
Katowice,2011-08-07,31
Katowice,2011-08-08,26
Katowice,2011-08-09,23
Katowice,2011-08-10,24
Katowice,2011-08-11,36
Katowice,2011-08-12,36
Katowice,2011-08-13,23
Katowice,2011-08-14,22
Katowice,2011-08-15,16
Katowice,2011-08-16,24
Katowice,2011-08-17,43
Katowice,2011-08-18,46.5
Katowice,2011-08-19,37.5
Katowice,2011-08-20,22
Katowice,2011-08-21,29.5
Katowice,2011-08-22,38
Katowice,2011-08-23,37.5
Katowice,2011-08-24,53.5
Katowice,2011-08-25,52
Katowice,2011-08-26,56.5
Katowice,2011-08-27,45
Katowice,2011-08-28,16.5
Katowice,2011-08-29,34
Katowice,2011-08-30,34.5
Katowice,2011-08-31,43.5
Katowice,2011-09-01,60
Katowice,2011-09-02,54
Katowice,2011-09-03,57.5
Katowice,2011-09-04,37.5
Katowice,2011-09-05,44
Katowice,2011-09-06,28.5
Katowice,2011-09-07,29.5
Katowice,2011-09-08,20.5
Katowice,2011-09-09,19
Katowice,2011-09-10,27
Katowice,2011-09-11,32.5
