Rok,Województwo,Kod strefy,Nazwa strefy,Kod stacji,Wskaźnik,Czas uśredniania,Średnia,Min,Max,L. dni > 120 (S8max),26 maks (S8max),Per. S93.2 (S8max),AOT40 V-VII,SOMO35,Liczba pomiarów,Kompl. lato,Kompl. zima,Liczba kompletnych mies. letnich (IV-IX),Kompletność/rok,Liczba Lato/Zima
2014,opolskie,PL1602,strefa opolska,OpOlesSlowac,O3,1g,30.7,0.0,126.0,0,63.6,94.9,12908,1324,3026,23,46,0,34.5,0.5
2014,podkarpackie,PL1801,miasto Rzeszów,PkRzeszRejta,O3,1g,39.0,0.1,144.4,4,99.7,101.5,7507,2531,8192,92,95,3,93.5,1.0
2014,podkarpackie,PL1802,strefa podkarpacka,PkJasloSikor,O3,1g,42.9,0.1,149.0,3,102.6,102.9,9518,3745,8449,97,96,5,96.4,1.0
2014,podkarpackie,PL1802,strefa podkarpacka,PkNiskoSzkla,O3,1g,45.8,0.8,157.9,4,104.2,107.9,10819,4115,6378,95,50,5,72.8,1.9
2014,podkarpackie,PL1802,strefa podkarpacka,PkPrzemGrunw,O3,1g,37.6,0.0,142.0,1,88.9,98.0,6856,2759,3808,46,41,2,43.5,1.1
2014,podlaskie,PL2001,Aglomeracja Białostocka,PdBialPulPie,O3,1g,50.8,0.6,148.2,11,107.7,108.2,10676,3874,8228,98,90,5,93.9,1.1
2014,podlaskie,PL2002,strefa podlaska,PdBorsukowiz,O3,1g,48.5,0.0,152.3,12,109.0,110.2,10723,4074,8131,100,86,6,92.8,1.2
2014,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaLeczk08,O3,1g,44.2,0.1,141.2,0,94.3,94.6,5325,2042,8619,97,99,5,98.4,1.0
2014,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaOstrz05,O3,1g,45.6,0.2,145.4,4,95.6,95.8,5601,2160,8494,100,94,6,97.0,1.1
2014,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyPoreb04,O3,1g,43.8,2.0,105.3,0,74.4,82.7,71,1010,3121,26,46,1,35.6,0.6
2014,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdySzaf09N,O3,1g,42.9,0.1,137.7,3,91.0,91.3,3921,1791,8582,100,96,6,98.0,1.0
2014,pomorskie,PL2202,strefa pomorska,PmKosTargo12,O3,1g,45.3,0.3,139.0,1,94.7,96.8,4651,2268,7825,97,82,5,89.3,1.2
2014,pomorskie,PL2202,strefa pomorska,PmLebaRabkaE,O3,1g,59.0,2.0,151.0,10,105.8,105.8,9549,3900,8749,100,100,6,99.9,1.0
2014,pomorskie,PL2202,strefa pomorska,PmLebMalcz16,O3,1g,49.0,0.8,153.0,8,99.0,101.8,7756,3014,7811,88,91,4,89.2,1.0
2014,pomorskie,PL2202,strefa pomorska,PmLinieKos17,O3,1g,58.0,1.9,156.4,9,104.3,107.2,9688,4096,7706,83,93,4,88.0,0.9
2014,pomorskie,PL2202,strefa pomorska,PmMalMicki15,O3,1g,38.3,0.7,138.0,1,78.3,83.5,4612,895,6659,56,96,1,76.0,0.6
2014,pomorskie,PL2202,strefa pomorska,PmSlupKniazi,O3,1g,48.4,0.1,151.7,4,101.4,102.3,7079,2916,8581,96,100,5,98.0,1.0
2014,śląskie,PL2401,Aglomeracja Górnośląska,SlDabro1000L,O3,1g,39.0,1.0,194.0,13,111.4,112.0,12930,3452,8140,90,96,5,92.9,1.0
2014,śląskie,PL2401,Aglomeracja Górnośląska,SlKatoKossut,O3,1g,37.6,0.0,200.0,11,107.9,109.0,13815,3571,8142,95,91,6,92.9,1.1
2014,śląskie,PL2401,Aglomeracja Górnośląska,SlZabSkloCur,O3,1g,40.7,1.0,198.0,18,112.0,115.1,16194,3882,8086,94,91,5,92.3,1.0
2014,śląskie,PL2402,Aglomeracja Rybnicko-Jastrzębska,SlRybniBorki,O3,1g,38.7,1.0,172.0,15,110.9,113.3,14017,3258,7715,91,85,4,88.1,1.1
2014,śląskie,PL2403,miasto Bielsko-Biała,SlBielKossak,O3,1g,48.9,1.0,161.0,8,105.6,106.0,12771,3267,8233,93,95,5,94.0,1.0
2014,śląskie,PL2404,miasto Częstochowa,SlCzestoBacz,O3,1g,43.0,1.0,157.0,15,110.5,113.0,13608,3992,8241,95,93,6,94.1,1.0
2014,śląskie,PL2405,strefa śląska,SlCiesMickie,O3,1g,50.9,1.0,177.0,8,107.6,107.6,14172,3709,8324,94,96,5,95.0,1.0
2014,śląskie,PL2405,strefa śląska,SlUstronSana,O3,1g,56.9,1.0,184.0,13,112.6,113.0,15358,4473,8228,93,95,4,93.9,1.0
2014,śląskie,PL2405,strefa śląska,SlWodzGalczy,O3,1g,41.7,1.0,172.0,12,111.3,113.5,14594,3727,8178,92,95,4,93.4,1.0
2014,śląskie,PL2405,strefa śląska,SlZlotPotLes,O3,1g,54.9,4.0,162.0,18,117.1,118.0,17997,5246,7884,91,89,4,90.0,1.0
2014,świętokrzyskie,PL2601,miasto Kielce,SkKielJagiel,O3,1g,42.7,0.0,139.8,3,101.1,102.8,7685,2710,8624,99,98,6,98.4,1.0
2014,świętokrzyskie,PL2602,strefa świętokrzyska,SkNowiParkow,O3,1g,48.0,0.8,156.6,10,113.1,117.6,16143,5491,5768,82,50,3,65.8,1.7
2014,świętokrzyskie,PL2602,strefa świętokrzyska,SkPolaRuszcz,O3,1g,52.7,0.9,152.7,18,114.2,116.1,17915,5062,8546,99,96,6,97.6,1.0
2014,warmińsko-mazurskie,PL2801,miasto Olsztyn,WmOlsPuszkin,O3,1g,48.1,0.0,135.2,5,101.3,102.0,8153,3078,8247,99,89,6,94.1,1.1
2014,warmińsko-mazurskie,PL2802,miasto Elbląg,WmElbBazynsk,O3,1g,54.2,0.0,140.9,6,106.7,107.3,11030,3910,8175,92,94,3,93.3,1.0
2014,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmGoldJacwie,O3,1g,58.0,0.0,142.0,5,105.3,109.4,9887,3971,6558,78,72,3,74.9,1.1
