"","Wroclaw","Torun","Lodz","Krakow","Warszawa","Gdansk","Data"
"43",53.84,29.456012,44,36.16,23.04,28,1947-02-06
"44",39.9,18.911721,37,44.72,19.41,23,1947-02-07
"45",51.45,29.873637,60,63.08,30.3,30,1947-02-08
"46",69.82,31.078067,53,70.47,31.39,31,1947-02-09
"47",56.69,23.61494,49,61.84,26.85,30,1947-02-10
"48",65.81,26.599489,45,68.38,24.13,22,1947-02-11
"49",75.89,39.935945,52,62.66,50.08,39,1947-02-12
"50",136.81,111.591881,123,108.14,90.9,64,1947-02-13
"51",248.82,150.599574,290,223.75,106.68,93,1947-02-14
"52",148.64,146.396223,248,164.77,131.53,101,1947-02-15
"53",73.1,78.678506,130,124.39,97.43,39,1947-02-16
"54",24.28,20.900377,54,70.47,46.45,20,1947-02-17
"55",26.07,16.140061,42,65.15,32.11,25,1947-02-18
"56",30.69,16.952538,41,49.33,36.65,16,1947-02-19
"57",10.28,13.631245,17,14.41,12.88,15,1947-02-20
"58",14.66,12.642609,20,17.43,16.15,17,1947-02-21
"59",12.55,14.304348,16,16.72,13.79,17,1947-02-22
"60",10.59,11.487743,14,11.68,10.34,11,1947-02-23
"61",20.55,16.168065,27,32.46,19.41,15,1947-02-24
"62",18.58,19.812207,21,36.96,21.41,11,1947-02-25
"63",34.92,30.431841,34,41.26,27.76,28,1947-02-26
"64",36.06,36.333359,44,35.68,42.81,36,1947-02-27
"65",17,19.81623,31,24.57,27.39,29,1947-02-28
"66",19.73,16.216532,19,23.92,NA,19,1947-03-01
"67",26.7,19.631513,38,48.8,24.86,23,1947-03-02
"68",35.27,40.908503,45,30.16,31.75,60,1947-03-03
"69",19.68,29.659638,82,18.52,31.39,65,1947-03-04
"70",38.21,41.360793,63,30.27,25.94,25,1947-03-05
"71",38.37,13.327309,62,47.72,33.75,13,1947-03-06
"72",35.81,27.374476,37,41.4,35.38,25,1947-03-07
"73",35.34,51.821797,74,66.17,55.52,65,1947-03-08
"74",31.76,36.401046,63,60.67,80.73,42,1947-03-09
"75",27.07,16.565692,36,26.34,27.03,16,1947-03-10
"76",32.19,15.391214,27,29.18,16.69,13,1947-03-11
"77",52.5,40.402651,48,53.46,29.21,34,1947-03-12
"78",85.18,67.504128,99,146.72,46.08,56,1947-03-13
"79",33.13,25.985229,42,85.15,37.92,27,1947-03-14
"80",36.26,27.430079,52,48.14,28.48,26,1947-03-15
"81",44.83,39.042393,65,55.81,37.55,NA,1947-03-16
"82",12.21,13.807676,19,16.47,18.69,28,1947-03-17
"83",12.65,11.161683,24,12.3,12.52,11,1947-03-18
"84",22.37,15.971892,22,36.41,28.12,23,1947-03-19
"85",20.78,18.403751,40,66.14,30.3,15,1947-03-20
"86",17.23,24.064775,32,55.19,25.58,33,1947-03-21
"87",34.97,27.969525,31,36.16,28.85,57,1947-03-22
"88",50.54,29.4165,57,65.21,27.03,19,1947-03-23
"89",42.52,22.82522,75,59.93,41.18,20,1947-03-24
"90",25.9,15.658949,45,22.33,17.42,17,1947-03-25
"91",47.9,22.969264,38,57.98,29.93,24,1947-03-26
"92",58.4,33.613324,55,81.29,44.63,22,1947-03-27
"93",53.04,43.122274,58,59.78,44.63,34,1947-03-28
"94",33.07,22.48479,29,50.29,23.04,20,1947-03-29
"95",30.82,34.672948,40,68.91,40.63,38,1947-03-30
"96",27.7,33.053217,42,58.43,35.37,52,1947-03-31
"97",26.76,37.991402,39,49.25,37.37,50,1947-04-01
"98",31.99,29.509439,49,26.9,50.43,29,1947-04-02
"99",45.53,32.308701,44,37.87,13.06,23,1947-04-03
"100",44.26,44.871635,43,46.28,72.09,37,1947-04-04
"101",13.9,10.137342,16,17.8,16.5,10,1947-04-05
"102",8.52,9.348141,17,21.95,19.76,13,1947-04-06
"103",21.9,16.100188,22,16.07,20.85,16,1947-04-07
"104",30.91,18.553868,51,39.64,29.01,13,1947-04-08
"105",33.53,31.373757,38,36.28,30.28,30,1947-04-09
"106",17.62,15.08034,20,22.71,23.94,20,1947-04-10
"107",19.01,17.068973,26,25.61,23.93,11,1947-04-11
"108",15.54,7.462566,13,17.63,14.51,12,1947-04-12
"109",22,9.462697,14,24.88,13.6,NA,1947-04-13
"110",20.38,13.572584,25,30.82,23.57,14,1947-04-14
"111",13.94,9.96542,28,13.33,11.42,12,1947-04-15
"112",14.19,11.906575,29,19.05,12.69,10,1947-04-16
"113",15.05,12.738122,17,11.89,12.51,15,1947-04-17
"114",14.74,13.089477,8,11.64,13.05,11,1947-04-18
"115",20.67,17.283234,36,13.84,18.5,12,1947-04-19
"116",33.24,23.950356,64,38.51,37.35,19,1947-04-20
"117",14.45,9.181676,18,20.66,15.96,19,1947-04-21
"118",9.27,8.231307,16,16.48,11.06,12,1947-04-22
"119",20.39,13.167572,19,26.81,17.41,11,1947-04-23
"120",23.43,20.990185,27,31.33,28.83,12,1947-04-24
"121",15.82,12.451459,23,17.54,17.77,12,1947-04-25
"122",24.56,34.266618,40,17.47,27.92,14,1947-04-26
"123",19.04,27.071613,26,15.59,20.49,22,1947-04-27
"124",26.29,11.429525,25,27.92,15.96,11,1947-04-28
"125",19.81,9.870195,24,36.25,15.05,10,1947-04-29
"126",16.02,9.862407,20,41.37,11.42,15,1947-04-30
"127",32.07,12.865793,17,31.29,13.05,17,1947-05-01
"128",35.63,13.869872,20,38.94,14.32,14,1947-05-02
"129",21.49,14.788683,28,35.19,17.41,19,1947-05-03
"130",34.1,21.969424,32,26.67,22.12,23,1947-05-04
"131",27.41,23.237377,36,31.77,27.01,27,1947-05-05
"132",16.33,14.205998,23,29.47,29.92,12,1947-05-06
"133",12.05,9.058531,16,16.59,24.46,10,1947-05-07
"134",11.58,14.857853,19,12.04,14.87,11,1947-05-08
"135",21.46,22.967963,40,30.67,20.67,14,1947-05-09
"136",23.83,13.974337,34,39.74,17.59,14,1947-05-10
"137",26.38,24.356241,31,37.21,20.67,NA,1947-05-11
"138",21.46,32.157655,29,38.09,22.66,22,1947-05-12
"139",23.46,30.277361,32,27.8,26.11,23,1947-05-13
"140",17.64,15.266506,26,27.38,23.39,27,1947-05-14
"141",18.12,22.812408,33,30.71,19.76,22,1947-05-15
"142",30.44,17.835932,25,39.18,25.56,21,1947-05-16
"143",28.79,23.059257,24,45.15,26.47,31,1947-05-17
"144",30.32,26.450025,28,56.94,29.55,34,1947-05-18
"145",17.48,30.998163,34,34.46,29.55,32,1947-05-19
"146",16.79,16.213547,20,17.5,26.11,33,1947-05-20
"147",19.47,21.384401,40,19.13,20.12,21,1947-05-21
"148",34,30.850163,35,29.93,27.56,18,1947-05-22
"149",17.68,27.620014,22,20,25.75,21,1947-05-23
"150",15.07,15.571462,17,21.38,17.22,26,1947-05-24
"151",16.32,16.42468,18,25.45,22.12,24,1947-05-25
"152",16.53,14.788351,16,21.28,14.5,21,1947-05-26
"153",17.47,20.63737,20,20.27,16.13,20,1947-05-27
"154",26.89,28.189012,23,22.57,25.93,22,1947-05-28
"155",31.74,22.670303,25,26.94,20.12,21,1947-05-29
"156",17.23,15.713347,25,23.73,26.65,23,1947-05-30
"157",18.81,16.35563,19.5,22.2,20.85,49,1947-05-31
"158",24.34,14.279972,26.1,27.8,21.94,25,1947-06-01
"159",20.89,13.514479,21.7,31.5,13.6,17,1947-06-02
"160",22.6,20.392708,19.6,21.5,20.49,14,1947-06-03
"161",15.35,17.161455,20.5,17.1,17.77,16,1947-06-04
"162",17.71,22.42624,18.3,32.3,27.73,14,1947-06-05
"163",13.03,12.961703,13.3,13.6,14.5,21,1947-06-06
"164",17.36,18.372356,19.8,17.2,19.94,14,1947-06-07
"165",18.52,22.244076,21.5,29.7,24.84,21,1947-06-08
"166",13.44,16.115219,19.5,23.1,18.49,17,1947-06-09
"167",18.89,15.103946,18,20.4,15.23,17,1947-06-10
"168",24.23,16.685164,24.5,24.5,22.48,15,1947-06-11
"169",22.6,12.941896,16.2,19.2,17.59,17,1947-06-12
"170",15.3,11.557614,17.4,19.3,13.23,14,1947-06-13
"171",17.04,11.719954,21.1,23.8,13.05,16,1947-06-14
"172",14.59,15.589564,17,23.6,19.04,16,1947-06-15
"173",10.92,8.61298,10.8,11.3,15.41,12,1947-06-16
"174",16.1,11.588794,14.3,17.4,15.05,14,1947-06-17
"175",21.2,17.73497,25.8,26.7,17.04,22,1947-06-18
"176",23.55,22.177054,24.6,29.5,23.75,25,1947-06-19
"177",14.9,16.221736,24.6,19.1,18.31,25,1947-06-20
"178",30.83,20.718992,28.4,30.3,22.3,27,1947-06-21
"179",20.01,16.161328,20.8,24,18.31,3,1947-06-22
"180",20.3,12.191621,24.1,30.7,14.32,26,1947-06-23
"181",14.36,12.620612,18.1,25.4,13.05,11,1947-06-24
"182",NA,11.270901,14.3,19.3,12.87,8,1947-06-25
"183",NA,18.876336,17.6,30.2,17.22,13,1947-06-26
"184",NA,19.504694,16.3,36.5,18.31,17,1947-06-27
"185",18.86,13.858573,20.2,17.1,21.21,27,1947-06-28
"186",17.99,7.3529,13.4,13.7,11.42,24,1947-06-29
"187",11.81,9.394134,13.727273,13.3,12.87,7,1947-06-30
"188",10.21,9.412903,11.909091,9.69,13.96,5,1947-07-01
"189",15.15,11.755601,15.363636,13.41,15.95,10,1947-07-02
"190",19.14,12.924427,15,21.6,14.5,13,1947-07-03
"191",19.86,14.026853,17,20.64,15.59,9,1947-07-04
"192",13.61,13.308412,19.272727,16.41,20.49,14,1947-07-05
"193",18.62,17.582418,19.909091,24.48,23.57,30,1947-07-06
"194",22.18,19.639623,19.545455,21.73,16.32,20,1947-07-07
"195",18.19,16.682988,18.818182,20.07,19.76,17,1947-07-08
"196",17.53,21.586729,20.727273,22.2,26.65,25,1947-07-09
"197",17.21,23.012803,18.181818,17.98,20.13,16,1947-07-10
"198",15.82,17.265174,24.363636,17.58,18.67,17,1947-07-11
"199",12.32,11.523795,13.181818,12.4,NA,13,1947-07-12
"200",19.36,15.468402,17.545455,19.54,17.22,17,1947-07-13
"201",15.31,16.538334,23.545455,16.43,16.68,20,1947-07-14
"202",10.59,14.222166,22.454545,18.09,15.23,15,1947-07-15
"203",11.89,12.971273,18.272727,19.34,16.86,16,1947-07-16
"204",13.59,20.486744,21.181818,25.36,22.66,22,1947-07-17
"205",20.96,22.504867,28.363636,36.67,27.38,32,1947-07-18
"206",29.58,27.187559,22.363636,27.34,22.66,25,1947-07-19
"207",20.42,27.392364,26.545455,22.91,31.18,25,1947-07-20
"208",22.06,19.656499,23.363636,19.07,20.85,14,1947-07-21
"209",17.82,20.767424,19.636364,13.73,19.4,19,1947-07-22
"210",16,18.689291,27.272727,21.35,21.21,16,1947-07-23
"211",10.21,17.057561,17.818182,14.19,17.77,13,1947-07-24
"212",13.86,21.572428,15.454545,13.86,16.68,14,1947-07-25
"213",11.17,20.304227,13.909091,13.32,17.04,11,1947-07-26
"214",17.2,23.410671,15.909091,16.74,15.05,18,1947-07-27
"215",18.96,19.968298,19.727273,22.19,19.04,17,1947-07-28
"216",20.29,24.772488,23.363636,21.64,20.67,25,1947-07-29
"217",24.04,26.072371,29.818182,28.98,27.19,19,1947-07-30
"218",34.2,30.801275,35.818182,28.91,27.2,27,1947-07-31
"219",21.76,20.716378,27,40.36,28.65,22,1947-08-01
"220",25.19,23.314541,28.090909,33.41,27.2,28,1947-08-02
"221",23.35,18.398338,26.090909,31.75,23.57,7,1947-08-03
"222",23.34,17.872933,25.545455,29.54,20.67,18,1947-08-04
"223",12.19,13.050759,21.181818,20.02,17.04,15,1947-08-05
"224",16.4,21.594684,21.545455,15.43,24.11,17,1947-08-06
"225",22.35,22.678999,22.545455,NA,23.93,31,1947-08-07
"226",22.4,28.356295,25.727273,45.65,22.66,33,1947-08-08
"227",22.69,24.231313,21.818182,43.33,25.75,26,1947-08-09
"228",16.8,21.875054,27.545455,35.05,35.36,31,1947-08-10
"229",11.1,10.927499,12.818182,16.28,25.2,15,1947-08-11
"230",13.22,10.990231,13.818182,NA,15.95,12,1947-08-12
"231",14.05,19.015381,14.636364,NA,16.68,18,1947-08-13
"232",16.66,14.72735,15,NA,14.87,33,1947-08-14
"233",21.59,19.757611,19.909091,NA,21.58,10,1947-08-15
"234",15.31,19.955975,18.272727,24.95,16.86,NA,1947-08-16
"235",27.78,24.991196,34.454545,32.11,25.74,27,1947-08-17
"236",13.88,17.553579,19.454545,20.05,21.21,18,1947-08-18
"237",14.3,18.481569,20.454545,10.6,16.68,20,1947-08-19
"238",11.96,13.260879,17.363636,15.19,17.59,12,1947-08-20
"239",13.45,10.651954,14.272727,15.21,12.15,15,1947-08-21
"240",17.43,14.623897,14.636364,17.92,13.78,15,1947-08-22
"241",28.42,21.038671,22.545455,26.48,19.04,16,1947-08-23
"242",30.68,24.042784,30.454545,36.85,27.56,20,1947-08-24
"243",30.32,25.273846,35,49.23,19.76,18,1947-08-25
"244",22.67,20.744311,26.272727,25.25,20.31,16,1947-08-26
"245",18.68,14.361578,23.181818,15.68,13.78,14,1947-08-27
"246",25.97,15.552443,24.363636,21.69,20.67,20,1947-08-28
"247",26.72,23.843193,29.090909,30.46,22.48,31,1947-08-29
"248",25.73,27.021342,39.272727,37.12,32.81,34,1947-08-30
"249",7.17,8.384904,14.090909,31.6,17.95,NA,1947-08-31
"250",10.27,7.268594,8.454545,8.3,9.97,10,1947-09-01
"251",9.94,6.484205,12.636364,6.5,13.05,6,1947-09-02
"252",14.06,8.662544,11.181818,14.2,12.69,6,1947-09-03
"253",15.69,9.399503,11.636364,19,11.79,7,1947-09-04
"254",22.66,18.057287,15.818182,23.4,13.31,14,1947-09-05
"255",14.27,9.631207,11.636364,13,10.34,27,1947-09-06
"256",22.89,23.350018,20.545455,21,18.86,1,1947-09-07
"257",20.53,26.611195,24.181818,26.5,19.58,12,1947-09-08
"258",11.87,22.473706,26.363636,23.4,23.21,23,1947-09-09
"259",14.31,22.989404,20.818182,27.7,31.55,21,1947-09-10
"260",18.39,18.330989,16.363636,12.8,14.69,16,1947-09-11
"261",16.82,15.438076,14,10.6,13.24,11,1947-09-12
"262",12.23,9.876141,10.363636,7.5,8.16,35,1947-09-13
"263",12.9,12.802951,14.090909,12.8,10.52,23,1947-09-14
"264",21.24,23.470371,26.181818,27.3,22.12,16,1947-09-15
"265",21.42,11.951367,20.090909,18.5,25.93,12,1947-09-16
"266",17.7,14.839632,22.909091,17,13.42,10,1947-09-17
"267",27.19,30.007217,30.272727,32.7,30.64,19,1947-09-18
"268",25.89,53.415698,20.727273,10.2,13.5,31,1947-09-19
"269",17.35,21.899898,23,11.1,13.6,23,1947-09-20
"270",20.39,16.11338,18.818182,18.1,14.69,18,1947-09-21
"271",14.81,29.638735,26.181818,17.6,29.37,24,1947-09-22
"272",20.5,32.645206,26.363636,18.7,29.19,32,1947-09-23
"273",18.22,23.594641,17.363636,27.9,28.29,37,1947-09-24
"274",32.46,36.801171,41.727273,42,47.14,49,1947-09-25
"275",38.76,23.971931,29.636364,49.2,34.09,41,1947-09-26
"276",34.14,23.746051,29.909091,47,24.66,31,1947-09-27
"277",39.32,30.776708,43.454545,61.9,33.55,28,1947-09-28
"278",36.63,30.171544,37.818182,62.9,28.83,30,1947-09-29
"279",34.55,34.112625,50.272727,42.06,29.73,34,1947-09-30
"280",37.43,32.920266,40.454545,50.26,36.99,39,1947-10-01
"281",18.06,24.463852,25.818182,37.85,30.64,19,1947-10-02
"282",20,19.199514,21.272727,19.47,19.58,15,1947-10-03
"283",17.1,9.407269,15.363636,18.49,11.24,12,1947-10-04
"284",10.09,8.284539,14.272727,11.6,13.24,14,1947-10-05
"285",11.4,13.22718,19.363636,23.97,17.77,10,1947-10-06
"286",9.35,7.468652,15,13.33,13.24,6,1947-10-07
"287",15.11,9.168325,14.090909,24.26,12.33,7,1947-10-08
"288",16.26,15.074925,20.909091,22.97,19.4,11,1947-10-09
"289",18.85,15.505232,23.363636,20.89,19.22,14,1947-10-10
"290",21.74,13.135314,19.909091,27.92,15.96,11,1947-10-11
"291",28.81,17.954806,27.818182,12.7,20.67,15,1947-10-12
"292",27.85,23.247147,36.818182,48.2,27.74,12,1947-10-13
"293",26.1,14.94847,36,38.82,18.67,10,1947-10-14
"294",39.1,32.41197,50.818182,50.09,29.93,27,1947-10-15
"295",61.82,48.039376,52.909091,75.48,42.97,44,1947-10-16
"296",64.06,61.119592,62,80.97,61.83,23,1947-10-17
"297",59.9,35.080709,NA,75.9,44.24,18,1947-10-18
"298",62.81,54.155347,88.181818,84.57,49.5,66,1947-10-19
"299",46.25,48.603047,54.545455,70.6,46.6,41,1947-10-20
"300",29.15,36.573063,53.818182,54.83,23.03,15,1947-10-21
"301",16.75,28.873969,39.545455,23.22,18.5,8,1947-10-22
"302",26.39,30.804884,83.909091,18.6,25.93,19,1947-10-23
"303",27.22,21.274205,26.909091,39.09,23.39,13,1947-10-24
"304",26.52,17.368041,32.818182,36.34,16.14,23,1947-10-25
"305",14,13.521351,20.454545,24.17,18.5,10,1947-10-26
"306",13.96,8.877469,18.545455,12.62,9.61,19,1947-10-27
"307",7.86,6.402796,12.272727,6.68,5.26,30,1947-10-28
"308",12.81,7.506026,7.545455,14.63,7.8,5,1947-10-29
"309",18.29,12.828121,11.363636,28.07,19.76,9,1947-10-30
"310",16.78,19.626385,24.727273,18.98,24.12,7,1947-10-31
"311",27.58,13.157633,16.181818,25.68,15.59,10,1947-11-01
"312",25.68,14.587068,22.545455,39.6,25.38,15,1947-11-02
"313",34.99,28.414297,31.818182,52.55,24.84,25,1947-11-03
"314",34.47,32.187668,34.090909,41.26,25.02,41,1947-11-04
"315",21.04,35.93351,41.545455,59.6,41.16,29,1947-11-05
"316",32.61,27.896453,41.272727,63.42,30.64,47,1947-11-06
"317",39.51,31.782479,40.636364,45.77,NA,31,1947-11-07
"318",66.34,41.919299,64.818182,77.21,48.44,38,1947-11-08
"319",31.91,37.452118,45.454545,33.62,39.71,21,1947-11-09
"320",14.81,13.938127,15.090909,13.88,11.06,9,1947-11-10
"321",15.26,20.492603,28.818182,22.28,17.22,12,1947-11-11
"322",20.52,41.978063,37.454545,27.98,23.75,25,1947-11-12
"323",29.04,19.226594,30,39.69,21.94,12,1947-11-13
"324",39.09,31.95633,50.272727,99.38,35.9,18,1947-11-14
"325",57.98,45.218261,71.818182,102,61.65,27,1947-11-15
"326",51.53,46.472188,56.272727,88.23,52.22,27,1947-11-16
"327",33.02,35.089671,38.181818,57.29,27.56,19,1947-11-17
"328",11.94,13.185864,19.363636,22.04,16.86,7,1947-11-18
"329",13.49,15.548805,20.272727,19.49,13.06,10,1947-11-19
"330",26.66,33.902535,50.818182,37.23,37.35,28,1947-11-20
"331",37.43,40.03424,51.090909,46.14,48.42,36,1947-11-21
"332",45.54,38.792062,50,89.64,31.37,38,1947-11-22
"333",45.42,35.790222,42.636364,124.61,42.97,35,1947-11-23
"334",30.82,25.709242,39.636364,93.22,35.18,18,1947-11-24
"335",20.6,19.133611,39.818182,29.09,18.68,13,1947-11-25
"336",24.23,26.379683,49.181818,70.46,37.17,16,1947-11-26
"337",26.63,24.900888,41.818182,52.33,35.54,21,1947-11-27
"338",46.44,42.892243,49.636364,86.54,41.71,41,1947-11-28
"339",56.16,40.33191,54.272727,55.88,51.31,32,1947-11-29
"340",35.62,22.511565,42.818182,43.37,28.65,7,1947-11-30
"341",38.02,34.180142,86.181818,100.73,39.89,16,1947-12-01
"342",38.04,36.356852,81.636364,35.87,58.56,20,1947-12-02
"343",20.13,22.342537,33.454545,26.83,28.83,14,1947-12-03
"344",19.23,15.3545,22.272727,24.24,23.93,10,1947-12-04
"345",24.52,5.8953,10.272727,NA,8.7,4,1947-12-05
"346",28.68,18.031661,30.363636,45.59,23.21,11,1947-12-06
"347",21.28,21.340578,30.090909,45.96,24.11,14,1947-12-07
"348",19.57,17.475071,26.909091,41.11,28.47,13,1947-12-08
"349",19.23,18.038569,8.545455,20.98,20.49,15,1947-12-09
"350",25.27,16.043969,18.727273,14.43,16.14,29,1947-12-10
"351",18.56,13.474127,15.363636,19.53,15.96,16,1947-12-11
"352",31.27,21.659821,38.636364,51.95,26.29,17,1947-12-12
"353",17.67,17.944281,20.909091,22.62,23.03,22,1947-12-13
"354",25.03,38.564624,33,40.64,28.29,23,1947-12-14
"355",58.77,43.501666,48.545455,75.48,44.78,29,1947-12-15
"356",24,43.144561,88.818182,81.69,51.31,25,1947-12-16
"357",28.3,51.497247,74.909091,77.18,59.65,58,1947-12-17
"358",51.07,44.769533,18.636364,52.06,32.46,40,1947-12-18
"359",42.89,40.544202,41.818182,80.55,48.23,39,1947-12-19
"360",33.07,24.585273,34.090909,47.87,36.45,16,1947-12-20
"361",15.33,15.541814,19.363636,29.47,22.67,15,1947-12-21
"362",NA,11.358505,17.818182,21.73,13.6,9,1947-12-22
"363",NA,6.147918,11.181818,13.84,6.71,8,1947-12-23
"364",NA,9.128,12.727273,31.82,9.97,4,1947-12-24
"365",NA,22.966842,29.454545,95.7,27.2,13,1947-12-25
"366",NA,30.434582,41,80.8,34.45,28,1947-12-26
"367",25.26,28.671289,28.545455,49.27,21.94,51,1947-12-27
"368",26.36,27.588667,33.454545,37.36,25.57,20,1947-12-28
"369",27.3,35.644926,46.090909,47.47,43.34,31,1947-12-29
"370",21.09,18.691522,23.909091,27.8,22.3,21,1947-12-30
