"film_id"|"channel_id"|"date"|"time"
"3081"|"1563"|"20170711"|"11:33:06"
"3621"|"967"|"20170710"|"21:07:25"
"3898"|"1519"|"20170706"|"23:04:19"
"3421"|"1735"|"20170704"|"15:56:00"
"1635"|"142"|"20170704"|"15:52:03"
"2794"|"142"|"20170704"|"15:48:32"
"3772"|"1792"|"20170704"|"15:46:08"
"3152"|"1908"|"20170704"|"15:42:59"
"3767"|"1792"|"20170704"|"15:39:43"
"843"|"401"|"20170704"|"15:35:57"
"2245"|"1201"|"20170704"|"15:32:41"
"1634"|"905"|"20170704"|"15:30:00"
"3771"|"1791"|"20170704"|"15:26:17"
"3756"|"1792"|"20170704"|"15:22:46"
"210"|"80"|"20170704"|"15:18:51"
"3765"|"1792"|"20170704"|"15:14:49"
"3760"|"1792"|"20170704"|"15:10:33"
"3754"|"1464"|"20170704"|"15:05:23"
"1082"|"574"|"20170704"|"14:49:42"
"1081"|"136"|"20170704"|"14:45:24"
"3766"|"1791"|"20170704"|"14:40:15"
"851"|"471"|"20170703"|"23:26:36"
"2851"|"1435"|"20170703"|"22:41:17"
"1614"|"212"|"20170702"|"19:54:05"
"1612"|"212"|"20170702"|"19:34:03"
"58"|"836"|"20170702"|"19:20:30"
"1172"|"1683"|"20170702"|"16:18:47"
"574"|"1894"|"20170702"|"16:16:26"
"573"|"246"|"20170702"|"16:16:15"
"446"|"195"|"20170702"|"16:15:47"
"1243"|"267"|"20170701"|"01:19:34"
"1229"|"1249"|"20170701"|"01:15:58"
"58"|"836"|"20170628"|"08:12:47"
"1126"|"616"|"20170627"|"21:39:14"
"4104"|"1200"|"20170627"|"21:07:20"
"2351"|"1789"|"20170626"|"18:32:51"
"3606"|"967"|"20170626"|"18:31:42"
"3613"|"967"|"20170626"|"18:14:26"
"3756"|"1792"|"20170625"|"23:35:38"
"3755"|"708"|"20170625"|"23:33:36"
"3297"|"1908"|"20170625"|"23:33:28"
"3152"|"1908"|"20170625"|"23:33:21"
"3148"|"1908"|"20170625"|"23:33:06"
"3156"|"1908"|"20170625"|"23:32:54"
"3151"|"1908"|"20170625"|"23:32:45"
"3146"|"1908"|"20170625"|"23:32:15"
"3147"|"1908"|"20170625"|"23:31:57"
"3150"|"1908"|"20170625"|"23:31:44"
"3155"|"1908"|"20170625"|"23:31:37"
"3149"|"1908"|"20170625"|"23:31:17"
"3153"|"1908"|"20170625"|"23:31:07"
"3154"|"1908"|"20170625"|"23:30:55"
"3766"|"1791"|"20170625"|"23:30:03"
"210"|"80"|"20170625"|"23:29:40"
"3772"|"1792"|"20170625"|"23:28:36"
"3765"|"1792"|"20170625"|"23:28:35"
"3760"|"1792"|"20170625"|"23:28:34"
"3762"|"1792"|"20170625"|"23:28:31"
"1495"|"1483"|"20170625"|"22:10:40"
"3543"|"967"|"20170624"|"19:12:04"
"3553"|"967"|"20170624"|"18:35:05"
"3840"|"168"|"20170624"|"14:44:53"
"4031"|"1818"|"20170623"|"22:53:20"
"3980"|"7"|"20170623"|"22:47:42"
"910"|"7"|"20170623"|"22:33:00"
"1440"|"7"|"20170623"|"22:31:18"
"1441"|"7"|"20170623"|"22:30:59"
"2942"|"1724"|"20170623"|"22:24:12"
"1941"|"967"|"20170623"|"22:21:21"
"3606"|"967"|"20170623"|"22:21:12"
"3597"|"967"|"20170623"|"22:20:40"
"2096"|"1098"|"20170623"|"22:18:00"
"2095"|"1141"|"20170623"|"22:17:31"
"3588"|"967"|"20170623"|"22:17:06"
"212"|"798"|"20170623"|"22:14:51"
"665"|"1035"|"20170623"|"22:14:10"
"667"|"1035"|"20170623"|"22:13:17"
"80"|"109"|"20170623"|"22:01:56"
"666"|"109"|"20170623"|"22:01:55"
"3807"|"109"|"20170623"|"22:01:53"
"3987"|"911"|"20170623"|"21:59:38"
"2913"|"1592"|"20170623"|"21:59:19"
"3835"|"820"|"20170623"|"21:58:46"
"3196"|"1113"|"20170622"|"16:40:13"
"3758"|"1791"|"20170621"|"14:43:14"
"3769"|"1864"|"20170621"|"14:39:51"
"3766"|"1791"|"20170621"|"14:35:28"
"3771"|"1791"|"20170621"|"14:31:39"
"3772"|"1792"|"20170621"|"14:29:08"
"3756"|"1792"|"20170621"|"14:25:51"
"3765"|"1792"|"20170621"|"14:21:42"
"3760"|"1792"|"20170621"|"14:17:21"
"3754"|"1464"|"20170621"|"14:12:01"
"4151"|"185"|"20170621"|"14:11:50"
"1026"|"1042"|"20170621"|"14:07:37"
"4152"|"89"|"20170621"|"13:41:46"
"3584"|"967"|"20170620"|"17:00:59"
"2183"|"1171"|"20170620"|"15:16:08"
"2180"|"1171"|"20170620"|"15:11:45"
"1081"|"136"|"20170620"|"15:07:28"
"3754"|"1464"|"20170620"|"15:02:09"
"1083"|"136"|"20170620"|"15:00:01"
"1082"|"574"|"20170620"|"14:55:10"
"3297"|"1908"|"20170620"|"14:52:25"
"3768"|"1792"|"20170620"|"14:48:09"
"3763"|"534"|"20170620"|"14:41:43"
"3767"|"1792"|"20170620"|"14:38:22"
"792"|"382"|"20170620"|"14:29:16"
"3152"|"1908"|"20170620"|"14:26:01"
"3758"|"1791"|"20170620"|"14:18:55"
"3769"|"1864"|"20170620"|"14:15:32"
"3766"|"1791"|"20170620"|"14:11:09"
"3771"|"1791"|"20170620"|"14:07:20"
"3772"|"1792"|"20170620"|"14:04:49"
"3756"|"1792"|"20170620"|"14:01:12"
"3765"|"1792"|"20170620"|"13:57:05"
"3760"|"1792"|"20170620"|"13:52:43"
"3603"|"967"|"20170619"|"23:03:29"
"1972"|"1049"|"20170619"|"21:32:17"
"3583"|"967"|"20170619"|"21:30:25"
"3562"|"967"|"20170619"|"17:22:05"
"3627"|"967"|"20170619"|"16:57:23"
"3617"|"967"|"20170619"|"00:32:03"
"3611"|"967"|"20170619"|"00:13:19"
"485"|"1483"|"20170618"|"21:26:41"
"3209"|"1619"|"20170618"|"20:42:18"
"3594"|"967"|"20170618"|"19:58:16"
"3585"|"967"|"20170618"|"19:23:39"
"3983"|"1571"|"20170618"|"16:38:39"
"3982"|"1947"|"20170618"|"16:36:43"
"3984"|"1571"|"20170618"|"16:02:29"
"3576"|"967"|"20170618"|"15:37:56"
"3561"|"967"|"20170618"|"15:24:20"
"3567"|"967"|"20170618"|"15:24:13"
"4032"|"2044"|"20170618"|"14:03:41"
"3554"|"967"|"20170618"|"13:49:13"
"3544"|"967"|"20170618"|"12:28:55"
"925"|"218"|"20170617"|"22:08:51"
"3534"|"967"|"20170617"|"21:25:52"
"3636"|"967"|"20170617"|"21:24:19"
"655"|"312"|"20170617"|"18:59:47"
"976"|"479"|"20170617"|"18:55:14"
"3743"|"285"|"20170617"|"18:50:58"
"3742"|"285"|"20170617"|"18:46:28"
"678"|"1040"|"20170617"|"18:46:23"
"680"|"506"|"20170617"|"18:44:12"
"676"|"326"|"20170617"|"18:39:42"
"681"|"326"|"20170617"|"18:35:11"
"673"|"326"|"20170617"|"18:30:52"
"671"|"326"|"20170617"|"18:25:58"
"679"|"326"|"20170617"|"18:21:20"
"672"|"326"|"20170617"|"18:16:52"
"680"|"326"|"20170617"|"18:12:17"
"682"|"326"|"20170617"|"18:08:06"
"677"|"326"|"20170617"|"18:03:37"
"670"|"326"|"20170617"|"17:58:12"
"675"|"326"|"20170617"|"17:53:45"
"3443"|"1739"|"20170617"|"17:53:15"
"3754"|"1464"|"20170617"|"17:53:06"
"115"|"40"|"20170617"|"16:16:33"
"2678"|"305"|"20170617"|"16:12:47"
"2589"|"1139"|"20170617"|"16:12:41"
"2360"|"423"|"20170617"|"16:12:34"
"2007"|"1352"|"20170617"|"16:12:27"
"1813"|"1070"|"20170617"|"16:11:24"
"1817"|"905"|"20170617"|"16:11:21"
"2181"|"1139"|"20170617"|"16:10:39"
"2354"|"1275"|"20170617"|"16:10:31"
"2361"|"1275"|"20170617"|"16:10:28"
"2362"|"1275"|"20170617"|"16:10:06"
"2744"|"905"|"20170617"|"16:09:42"
"3566"|"967"|"20170617"|"14:45:46"
"3575"|"967"|"20170617"|"14:06:14"
"3562"|"967"|"20170617"|"14:06:09"
"3555"|"967"|"20170617"|"14:06:06"
"3733"|"647"|"20170617"|"11:47:37"
"1610"|"537"|"20170617"|"11:05:49"
"1611"|"212"|"20170617"|"11:00:23"
"1613"|"212"|"20170617"|"10:56:42"
"1608"|"212"|"20170617"|"10:46:32"
"3545"|"967"|"20170617"|"10:22:33"
"1741"|"1453"|"20170617"|"00:11:46"
"3765"|"1792"|"20170616"|"22:51:44"
"3760"|"1792"|"20170616"|"22:47:17"
"3767"|"1792"|"20170616"|"22:41:52"
"3754"|"1464"|"20170616"|"22:41:46"
"3775"|"468"|"20170616"|"22:38:47"
"1119"|"1896"|"20170616"|"22:36:02"
"1142"|"7"|"20170616"|"22:32:20"
"3545"|"967"|"20170616"|"20:47:05"
"3535"|"967"|"20170616"|"20:21:36"
"3637"|"967"|"20170616"|"19:54:30"
"3628"|"967"|"20170616"|"19:39:47"
"3618"|"967"|"20170616"|"19:24:43"
"3604"|"967"|"20170616"|"19:15:07"
"3595"|"967"|"20170616"|"18:54:48"
"525"|"233"|"20170616"|"14:26:59"
"227"|"528"|"20170616"|"14:20:56"
"229"|"990"|"20170616"|"14:20:44"
"3435"|"1739"|"20170616"|"13:37:21"
"3454"|"1739"|"20170616"|"13:32:54"
"3464"|"1739"|"20170616"|"13:29:38"
"3437"|"1739"|"20170616"|"13:24:53"
"3438"|"1739"|"20170616"|"13:20:03"
"3432"|"1739"|"20170616"|"13:16:12"
"3436"|"1739"|"20170616"|"13:10:25"
"3472"|"1739"|"20170616"|"13:05:05"
"3434"|"1739"|"20170616"|"13:01:03"
"3455"|"1739"|"20170616"|"12:56:44"
"3443"|"1739"|"20170616"|"12:52:23"
"3762"|"1792"|"20170616"|"12:46:13"
"1081"|"136"|"20170616"|"12:45:56"
"3152"|"1908"|"20170616"|"12:42:41"
"3763"|"534"|"20170616"|"11:48:10"
"3768"|"1792"|"20170616"|"11:37:47"
