"title","genres","countries"
"Gods of Egypt","Action, Adventure, Fantasy","USA, Australia"
"Watchmen","Action, Drama, Mystery, Sci-Fi","USA"
"G.I. Joe: Retaliation","Action, Adventure, Sci-Fi","USA"
"Captain America: The First Avenger","Action, Adventure, Sci-Fi","USA"
"The Incredible Hulk","Action, Adventure, Sci-Fi","USA"
"The BFG","Adventure, Family, Fantasy","USA, India"
"The Revenant","Action, Adventure, Biography, Drama, Western","USA, Hong Kong, Taiwan"
"Turbo","Animation, Adventure, Comedy","USA"
"Rango","Animation, Adventure, Comedy, Family, Western","USA, Brazil"
"Penguins of Madagascar","Animation, Adventure, Comedy, Family, Sci-Fi","USA"
"Kung Fu Panda","Animation, Action, Adventure","USA"
"Ant-Man","Action, Adventure, Comedy, Crime, Sci-Fi","USA"
"The Hunger Games: Catching Fire","Action, Adventure, Mystery, Sci-Fi, Thriller","USA"
"Puss in Boots","Animation, Action, Adventure","USA"
"Salt","Action, Mystery, Thriller","USA"
"Noah","Action, Adventure, Drama","USA"
"The Adventures of Tintin","Animation, Action, Adventure, Family, Mystery","USA, New Zealand"
"Australia","Adventure, Drama, Romance, War","UK, Australia, USA"
"After Earth","Action, Adventure, Sci-Fi","USA"
"Night at the Museum: Secret of the Tomb","Adventure, Comedy, Family, Fantasy","UK, USA"
"Megamind","Animation, Action, Comedy, Family, Sci-Fi","USA"
"R.I.P.D.","Action, Adventure, Comedy","USA"
"The Hunger Games: Mockingjay - Part 1","Action, Adventure, Sci-Fi, Thriller","USA"
"Rio 2","Animation, Adventure, Comedy, Family, Musical","USA"
"Fast Five","Action, Crime, Thriller","USA"
"Sherlock Holmes: A Game of Shadows","Action, Adventure, Crime, Mystery, Thriller","USA"
"The Bourne Legacy","Action, Adventure, Thriller","USA, Japan"
"Life of Pi","Adventure, Drama, Fantasy","USA, Taiwan, UK, Canada"
"Jason Bourne","Action, Thriller","USA, China"
"Prometheus","Adventure, Mystery, Sci-Fi","USA, UK"
"Elysium","Action, Drama, Sci-Fi","USA"
"Speed Racer","Action, Adventure, Comedy, Drama, Family, Sci-Fi, Sport","USA, Australia, Germany"
"How Do You Know","Comedy, Drama, Romance","USA"
"Oblivion","Action, Adventure, Mystery, Sci-Fi","USA"
"The Wolverine","Action, Adventure, Sci-Fi","USA, UK, Australia, Japan"
"The Croods","Animation, Action, Adventure","USA"
"The Huntsman: Winter's War","Action, Adventure, Drama, Fantasy","USA, China"
"Teenage Mutant Ninja Turtles","Action, Adventure, Comedy, Sci-Fi","USA"
"Teenage Mutant Ninja Turtles","Action, Adventure, Comedy, Sci-Fi","USA"
"Gravity","Drama, Sci-Fi, Thriller","UK, USA"
"Teenage Mutant Ninja Turtles: Out of the Shadows","Action, Adventure, Comedy, Sci-Fi","USA, Hong Kong, China, Canada"
"Fantastic Four","Action, Adventure, Fantasy, Sci-Fi","USA, Germany"
"Fantastic Four","Action, Adventure, Fantasy, Sci-Fi","USA, Germany"
"San Andreas","Action, Adventure, Drama, Thriller","USA"
"Gulliver's Travels","Adventure, Comedy, Family, Fantasy","USA"
"The Green Hornet","Action, Comedy, Crime, Sci-Fi, Thriller","USA"
"The Smurfs","Animation, Adventure, Comedy, Family, Fantasy","USA, Belgium, Canada"
"Real Steel","Action, Drama, Family, Sci-Fi, Sport","USA, India"
"The Smurfs 2","Animation, Adventure, Comedy, Family, Fantasy","USA, France, Canada, Belgium"
"Ender's Game","Action, Adventure, Fantasy","USA"
"The Princess and the Frog","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","USA"
"The Martian","Adventure, Drama, Sci-Fi","UK, USA"
"Public Enemies","Biography, Crime, Drama, History, Romance","USA, Japan"
"Little Fockers","Comedy, Romance","USA"
"The Other Guys","Action, Comedy, Crime","USA"
"Django Unchained","Drama, Western","USA"
"The Expendables 2","Action, Adventure, Thriller","USA, Germany"
"Where the Wild Things Are","Adventure, Drama, Family, Fantasy","Germany, Australia, USA"
"Epic","Animation, Adventure, Family, Fantasy","USA"
"The Tourist","Action, Adventure, Crime, Mystery, Romance, Thriller","USA, France, Italy, UK"
"The Tourist","Action, Adventure, Crime, Mystery, Romance, Thriller","USA, France, Italy, UK"
"The Wolf of Wall Street","Biography, Comedy, Crime, Drama","USA"
"Cloud Atlas","Action, Drama, Mystery, Sci-Fi","Germany, USA, Hong Kong, Singapore"
"Legend of the Guardians: The Owls of Ga'Hoole","Animation, Action, Adventure, Family, Fantasy","USA, Australia"
"Hercules","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","USA"
"Hercules","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","USA"
"Land of the Lost","Adventure, Comedy, Sci-Fi","USA"
"The Expendables 3","Action, Adventure, Thriller","USA, France, Bulgaria"
"Point Break","Action, Crime, Thriller","Japan, USA"
"Point Break","Action, Crime, Thriller","Japan, USA"
"In the Heart of the Sea","Action, Adventure, Biography, Drama, History, Thriller","USA, Australia, Spain"
"Green Zone","Action, Drama, Thriller, War","UK, France, Spain, USA"
"The Peanuts Movie","Animation, Adventure, Comedy, Family","USA"
"The Flowers of War","Drama, History, Romance, War","China, Hong Kong"
"The Campaign","Comedy","USA"
"Sex and the City 2","Comedy, Drama, Romance","USA"
"Ice Age: Continental Drift","Animation, Adventure, Comedy, Family, Fantasy","USA"
"The Lovely Bones","Drama, Fantasy, Thriller","USA, UK, New Zealand"
"The Lovely Bones","Drama, Fantasy, Thriller","USA, UK, New Zealand"
"Seventh Son","Action, Adventure, Fantasy","USA, UK, Canada, China"
"Transcendence","Drama, Mystery, Romance, Sci-Fi, Thriller","UK, China, USA"
"Rise of the Planet of the Apes","Action, Drama, Sci-Fi, Thriller","USA, UK, Canada"
"The Spiderwick Chronicles","Adventure, Family, Fantasy","USA"
"A Good Day to Die Hard","Action, Thriller","USA"
"Unstoppable","Action, Thriller","USA"
"Cloudy with a Chance of Meatballs","Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","USA"
"Ice Age: Dawn of the Dinosaurs","Animation, Action, Adventure, Comedy, Family","USA"
"The Secret Life of Walter Mitty","Adventure, Comedy, Drama","USA, UK"
"Tropic Thunder","Action, Adventure, Comedy, War","USA, UK, Germany"
"The Girl with the Dragon Tattoo","Crime, Drama, Mystery, Thriller","USA, Sweden, Norway"
"Sherlock Holmes","Action, Adventure, Crime, Mystery, Thriller","USA, Germany"
"Ben-Hur","Adventure, Drama, History","USA"
"Ben-Hur","Adventure, Drama, History","USA"
"Ben-Hur","Adventure, Drama, History","USA"
"Alvin and the Chipmunks: The Road Chip","Animation, Adventure, Comedy, Family, Fantasy, Music","USA"
"Valkyrie","Drama, History, Thriller, War","USA, Germany"
"You Don't Mess with the Zohan","Comedy","USA"
"Pixels","Action, Comedy, Sci-Fi","USA, China, Canada"
"Percy Jackson: Sea of Monsters","Adventure, Family, Fantasy, Thriller","USA"
"Now You See Me 2","Action, Adventure, Comedy, Crime, Mystery, Thriller","France, USA"
"Rio","Animation, Adventure, Comedy, Family, Musical","USA"
"The Nutcracker in 3D","Action, Family, Fantasy","UK, Hungary"
"Hotel Transylvania","Animation, Comedy, Family, Fantasy","USA"
"Safe House","Action, Adventure, Crime","South Africa, Japan, USA"
"Tower Heist","Action, Comedy, Crime","USA"
"It's Complicated","Comedy, Drama, Romance","USA, Japan"
"Divergent","Action, Adventure, Mystery, Sci-Fi","USA"
"Arthur Christmas","Animation, Adventure, Comedy, Family, Fantasy","UK, USA"
"Mirror Mirror","Adventure, Comedy, Drama, Family, Fantasy","USA, Canada"
"Scott Pilgrim vs. the World","Action, Comedy, Romance","USA, UK, Canada, Japan"
"Dredd","Action, Crime, Sci-Fi","UK, South Africa, USA, India"
"Dredd","Action, Crime, Sci-Fi","UK, South Africa, USA, India"
"Cats & Dogs: The Revenge of Kitty Galore","Musical","UK, USA"
"Jumper","Action, Adventure, Sci-Fi, Thriller","USA, Canada"
"Hellboy II: The Golden Army","Action, Adventure, Fantasy, Horror, Sci-Fi","USA, Germany"
"The Expendables","Action, Adventure, Thriller","USA"
"The Hunger Games","Adventure, Sci-Fi, Thriller","USA"
"The Hangover Part II","Comedy, Mystery","USA"
"Alvin and the Chipmunks: Chipwrecked","Animation, Adventure, Comedy, Family, Fantasy, Music","USA"
"Grown Ups 2","Comedy","USA"
"Get Smart","Action, Adventure, Comedy","USA"
"Shutter Island","Mystery, Thriller","USA"
"Four Christmases","Comedy, Drama, Romance","Germany, USA"
"Bedtime Stories","Comedy, Family, Fantasy, Romance","USA"
"Eagle Eye","Action, Mystery, Thriller","USA, Germany"
"The Book of Eli","Action, Adventure, Drama, Thriller","USA"
"Yogi Bear","Animation, Adventure, Comedy, Family","USA, New Zealand"
"Zookeeper","Comedy, Family, Romance","USA"
