"Year","Age","Gender","Tx"
2009,"101","Male",429
2009,"102","Male",253
2009,"103","Male",146
2009,"104","Male",82
2009,"105","Male",45
2009,"106","Male",24
2009,"107","Male",12
2009,"108","Male",6
2009,"109","Male",3
2009,"110+","Male",2
