"Data";"Pył zawieszony PM10(ug/m3)";"Pył zawieszony PM2,5(ug/m3)"
"24-03-2018";50,8;46
"25-03-2018";36,7;27
"26-03-2018";52,3;41
"27-03-2018";26;24
"28-03-2018";44,8;40
"29-03-2018";39,7;31
"30-03-2018";33,9;23
"31-03-2018";35,8;27
"01-04-2018";18,9;21
"02-04-2018";23,4;21
"03-04-2018";37,2;17
"04-04-2018";38,1;12
"05-04-2018";22,9;9
"06-04-2018";30,9;15
"07-04-2018";47;21
"08-04-2018";53,9;18
"09-04-2018";47,5;16
"10-04-2018";41,4;13
"11-04-2018";41,7;15
"12-04-2018";58,3;18
"13-04-2018";53,2;17
"14-04-2018";26,7;10
"15-04-2018";54,8;17
"16-04-2018";42,8;22
"17-04-2018";36,1;26
"18-04-2018";41,1;20
"19-04-2018";33,2;16
"20-04-2018";38,6;11
"21-04-2018";38,3;14
"22-04-2018";19,9;8
"23-04-2018";30,9;13
"24-04-2018";25,4;11
"25-04-2018";38,2;14
"26-04-2018";20,8;8
"27-04-2018";22,6;8
"28-04-2018";28,4;12
"29-04-2018";47,9;18
"30-04-2018";64,4;17
"01-05-2018";26,3;13
"02-05-2018";32,1;17
"03-05-2018";42,5;24
"04-05-2018";26;16
"05-05-2018";21,5;10
"06-05-2018";23,3;11
"07-05-2018";32,2;11
"08-05-2018";33;13
"09-05-2018";30,8;14
"10-05-2018";36,8;12
"11-05-2018";23,2;13
"12-05-2018";37,6;15
"13-05-2018";24,8;11
"14-05-2018";29,1;11
"15-05-2018";20,6;9
"16-05-2018";25,3;14
"17-05-2018";15,7;9
"18-05-2018";32,2;11
"19-05-2018";26;9
"20-05-2018";27;8
"21-05-2018";22,7;8
"22-05-2018";30;12
"23-05-2018";31,4;14
"24-05-2018";22,9;9
"25-05-2018";28,6;NA
"26-05-2018";27,8;NA
"27-05-2018";29,3;NA
"28-05-2018";34;NA
"29-05-2018";40,1;NA
"30-05-2018";36;NA
"31-05-2018";38,1;NA
"01-06-2018";34,9;NA
"02-06-2018";19;NA
"03-06-2018";19,8;NA
"04-06-2018";25;NA
"05-06-2018";28,6;NA
"06-06-2018";21,1;NA
"07-06-2018";22,4;14
"08-06-2018";36,7;17
"09-06-2018";32,3;19
"10-06-2018";31,3;17
"11-06-2018";29,3;16
"12-06-2018";22,4;15
"13-06-2018";26,3;14
"14-06-2018";17;9
"15-06-2018";22,1;11
