"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","EXP","Teacher career point (experience level)","QUAL","Teacher qualification level","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP0","Starting salary","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,34477.85,,
"AUT","Austria","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,34477.85,,
"AUT","Austria","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP0","Starting salary","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,34519.27,,
"AUT","Austria","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,34519.27,,
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP10","Salary after 10 years of experience","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP10","Salary after 10 years of experience","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP10","Salary after 10 years of experience","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,44633.06453,,
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP10","Salary after 10 years of experience","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,44633.06453,,
"AUT","Austria","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP10","Salary after 10 years of experience","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,46965.07455,,
"AUT","Austria","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP10","Salary after 10 years of experience","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,46965.07455,,
"AUT","Austria","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP10","Salary after 10 years of experience","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,50880.32777,,
"AUT","Austria","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP10","Salary after 10 years of experience","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,50880.32777,,
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP10","Salary after 10 years of experience","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP10","Salary after 10 years of experience","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP10","Salary after 10 years of experience","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,38079.9,,
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP10","Salary after 10 years of experience","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,38079.9,,
"AUT","Austria","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP10","Salary after 10 years of experience","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,40069.52,,
"AUT","Austria","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP10","Salary after 10 years of experience","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,40069.52,,
"AUT","Austria","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP10","Salary after 10 years of experience","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,43409.92,,
"AUT","Austria","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP10","Salary after 10 years of experience","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,43409.92,,
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP15","Salary after 15 years of experience","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP15","Salary after 15 years of experience","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP15","Salary after 15 years of experience","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,49961.12753,,
